"Id","MAE Value","ETS Method"
"326","0.859419311653716","ETS(A,N,A)"
"327","0.697122750082217","ETS(A,N,A)"
"328","0.572366221737908","ETS(A,N,N)"
"329","0.793507784706449","ETS(A,N,A)"
"330","0.738040309793813","ETS(A,N,A)"
"331","0.833486432602568","ETS(A,N,A)"
"332","0.723370753075496","ETS(A,N,A)"
"333","0.727745231148134","ETS(A,A,A)"
"334","0.594317342301542","ETS(A,N,N)"
"335","0.711617437949325","ETS(A,N,A)"
"336","0.664067183422949","ETS(A,N,N)"
"337","0.532862004173189","ETS(A,A,N)"
"338","0.580896436208853","ETS(A,N,N)"
"339","0.941120623477042","ETS(A,N,A)"
"340","0.869200983784292","ETS(A,N,A)"
"341","0.722760589659228","ETS(A,N,A)"
"342","0.807444497563604","ETS(A,N,N)"
"343","0.593520693312564","ETS(A,N,A)"
"344","0.780676450930663","ETS(A,N,N)"
"345","0.810281318623634","ETS(A,A,N)"
"346","0.870112277652563","ETS(A,N,A)"
"347","0.62992938785257","ETS(A,N,A)"
"348","0.753236510369836","ETS(A,N,A)"
"349","0.643737985347134","ETS(A,N,A)"
"350","0.793801747039365","ETS(A,N,A)"
"351","0.902522033818616","ETS(A,N,A)"
"352","0.790392440014729","ETS(A,N,A)"
"353","0.666156318965945","ETS(A,N,A)"
"354","0.800671583862175","ETS(A,N,A)"
"355","0.789619531964512","ETS(A,N,A)"
"356","0.781595009803723","ETS(A,N,A)"
"357","0.721522142701612","ETS(A,N,A)"
"358","0.659812724512524","ETS(A,A,N)"
"359","0.633565421920895","ETS(A,N,A)"
"360","0.83378104538777","ETS(A,A,A)"
"361","0.724210342333598","ETS(A,N,A)"
"362","0.433021158537434","ETS(A,A,N)"
"363","0.532455129891574","ETS(A,N,N)"
"364","0.543371591616515","ETS(A,A,A)"
"365","0.832952227732707","ETS(A,A,A)"
"366","0.775660670783702","ETS(A,N,N)"
"367","0.826748098500768","ETS(A,N,N)"
"368","0.639654160472633","ETS(A,A,N)"
"369","1.04524003227693","ETS(A,N,A)"
"370","1.00414440136704","ETS(A,N,A)"
"371","0.759721995883343","ETS(A,N,A)"
"372","0.769187311974123","ETS(A,A,A)"
"373","0.720611987394954","ETS(A,N,A)"
"374","0.767925431171055","ETS(A,N,A)"
"375","0.868170847757115","ETS(A,N,A)"
"376","0.723367134694217","ETS(A,N,A)"
"377","0.664254461730969","ETS(A,N,A)"
"378","0.754770057285993","ETS(A,N,A)"
"379","0.805122317146508","ETS(A,N,A)"
"380","0.841133462517996","ETS(A,N,N)"
"381","0.926732861763152","ETS(A,N,A)"
"382","0.723188255122566","ETS(A,N,A)"
"383","0.873046988742866","ETS(A,N,A)"
"384","0.673009271698383","ETS(A,N,N)"
"385","0.716822587400567","ETS(A,N,N)"
"386","0.869775944794891","ETS(A,N,A)"
"387","0.860371959653398","ETS(A,N,A)"
"388","0.697175781823372","ETS(A,N,N)"
"389","0.668860994127158","ETS(A,N,A)"
"390","0.552887849416546","ETS(A,N,A)"
"391","0.90873148527944","ETS(A,Ad,N)"
"392","0.906593686831324","ETS(A,N,A)"
"393","0.812685054174221","ETS(A,N,A)"
"394","0.897136691927822","ETS(A,N,A)"
"395","0.625852360769579","ETS(A,A,A)"
"396","0.639000098994814","ETS(A,A,A)"
"397","1.02605977230345","ETS(A,N,A)"
"398","0.567223282717852","ETS(A,A,N)"
"399","0.745659971489263","ETS(A,N,A)"
"400","0.749833455656967","ETS(A,N,A)"
"401","0.840656777698767","ETS(A,N,A)"
"402","0.939691115482561","ETS(A,N,A)"
"403","0.874293100045616","ETS(A,N,A)"
"404","0.79578790435772","ETS(A,N,A)"
"405","0.811763229289745","ETS(A,N,A)"
"406","0.631737922068906","ETS(A,N,N)"
"407","0.528953271915834","ETS(A,N,N)"
"408","0.824558546109287","ETS(A,N,A)"
"409","0.721427733815435","ETS(A,N,A)"
"410","0.611279333727839","ETS(A,N,A)"
"411","0.545448723419123","ETS(A,N,N)"
"412","0.936254853649394","ETS(A,N,N)"
"413","0.796741191571394","ETS(A,N,A)"
"414","1.01468279506169","ETS(A,A,A)"
"415","0.793774890439498","ETS(A,N,A)"
"416","0.667830558510007","ETS(A,N,N)"
"417","0.606814980241044","ETS(A,Ad,N)"
"418","0.557928151270294","ETS(A,N,A)"
"419","0.602460683136511","ETS(A,N,A)"
"420","0.800207731797452","ETS(A,N,A)"
"421","0.713305257084205","ETS(A,N,A)"
"422","0.85461605513861","ETS(A,N,A)"
"423","0.857875313698097","ETS(A,N,A)"
"424","0.727660783379216","ETS(A,A,A)"
"425","0.859455302395775","ETS(A,N,N)"
"426","0.898904089625973","ETS(A,N,A)"
"427","0.877438104737456","ETS(A,N,N)"
"428","0.974412415168199","ETS(A,N,A)"
"429","0.826024078875984","ETS(A,N,N)"
"430","0.938968379382845","ETS(A,N,A)"
"431","0.49001148916645","ETS(A,A,N)"
"432","0.60454978961269","ETS(A,A,N)"
"433","0.388885667383495","ETS(A,A,N)"
"434","1.03995016227852","ETS(A,N,N)"
"435","0.905635830575255","ETS(A,N,A)"
"436","0.388894982568616","ETS(A,A,A)"
"437","0.852186008121867","ETS(A,N,N)"
"438","0.476566027781968","ETS(A,N,N)"
"439","0.547270112720583","ETS(A,A,N)"
"440","0.516662889290097","ETS(A,A,A)"
"441","0.771961605911558","ETS(A,N,N)"
"442","0.704868792868426","ETS(A,N,A)"
"443","0.911579438028509","ETS(A,N,N)"
"444","0.774075005342523","ETS(A,N,A)"
"445","0.53674374443823","ETS(A,N,N)"
"446","0.858177679070592","ETS(A,N,A)"
"447","0.567745122715571","ETS(A,A,N)"
"448","0.710237265641323","ETS(A,N,A)"
"449","0.824204596489246","ETS(A,N,N)"
"450","0.84829079851698","ETS(A,N,N)"
"451","0.846642527107742","ETS(A,N,N)"
"452","0.757391614415252","ETS(A,N,N)"
"453","0.779403463727515","ETS(A,N,A)"
"454","0.809978580237069","ETS(A,N,N)"
"455","0.843080658230398","ETS(A,N,N)"
"456","0.888433978650643","ETS(A,N,N)"
"457","0.911259445493307","ETS(A,Ad,A)"
"458","0.824814248582884","ETS(A,N,A)"
"459","0.768860462172769","ETS(A,A,A)"
"460","0.970997979686922","ETS(A,N,A)"
"461","0.817136143120766","ETS(A,N,N)"
"462","0.70399786091265","ETS(A,A,N)"
"463","0.919852807137641","ETS(A,N,A)"
"464","0.886947798915307","ETS(A,N,N)"
"465","0.792407165798691","ETS(A,N,A)"
"466","0.634511467947954","ETS(A,A,N)"
"467","0.898823067800375","ETS(A,N,N)"
"468","0.829394112225374","ETS(A,N,N)"
"469","1.02633221232841","ETS(A,Ad,N)"
"470","0.67375245592619","ETS(A,A,N)"
"471","0.866226948031039","ETS(A,N,A)"
"472","0.821254667941389","ETS(A,N,N)"
"473","0.775181025679708","ETS(A,N,N)"
"474","0.810949235141812","ETS(A,N,N)"
"475","0.388896043453255","ETS(A,N,A)"
"476","0.373141869779014","ETS(A,N,A)"
"477","0.741303672291397","ETS(A,N,A)"
"478","0.843548497825705","ETS(A,N,A)"
"479","0.419046213820228","ETS(A,Ad,N)"
"480","0.783546699137598","ETS(A,N,A)"
"481","0.167876532341977","ETS(A,A,N)"
"482","0.287764183306834","ETS(A,Ad,N)"
"483","0.453929136575361","ETS(A,A,N)"
"484","0.479933144312283","ETS(A,N,N)"
"485","0.896593513260092","ETS(A,N,N)"
"486","0.890741277114813","ETS(A,Ad,A)"
"487","0.729868680573772","ETS(A,N,N)"
"488","0.759786238651327","ETS(A,N,A)"
"489","0.551791831782571","ETS(A,N,A)"
"490","0.769006781056634","ETS(A,N,A)"
"491","0.55598250611948","ETS(A,N,A)"
"492","0.382914510830177","ETS(A,N,A)"
"493","1.03031468996115","ETS(A,N,A)"
"494","0.615299658616093","ETS(A,N,A)"
"495","0.291896062887081","ETS(A,N,A)"
"496","0.433038818139622","ETS(A,N,A)"
"497","0.361447847704575","ETS(A,N,A)"
"498","0.857621924294585","ETS(A,Ad,A)"
"499","0.626278939350517","ETS(A,N,A)"
"500","0.331887793832075","ETS(A,A,A)"
"501","0.40375455490807","ETS(A,Ad,A)"
"502","0.666803418394166","ETS(A,N,A)"
"503","0.485034959544462","ETS(A,N,N)"
"504","0.793701103228021","ETS(A,N,A)"
"505","0.387474613161836","ETS(A,N,A)"
"506","0.595405326396047","ETS(A,N,A)"
"507","0.603964949850712","ETS(A,N,A)"
"508","0.474949013883154","ETS(A,N,A)"
"509","0.625735742466216","ETS(A,N,A)"
"510","0.725227620337244","ETS(A,N,A)"
"511","0.624427075041547","ETS(A,N,A)"
"512","0.786068316095985","ETS(A,N,A)"
